"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C03622V04362","Country","C02293V02763","Direction","UNIT","VALUE"
"ASA03","Air and Sea Travel","2010","2010","-","All countries","1","Arrivals","Thousand","12902.2"
"ASA03","Air and Sea Travel","2010","2010","-","All countries","2","Departures","Thousand","12920.2"
"ASA03","Air and Sea Travel","2010","2010","AE","United Arab Emirates","1","Arrivals","Thousand","99"
"ASA03","Air and Sea Travel","2010","2010","AE","United Arab Emirates","2","Departures","Thousand","99"
"ASA03","Air and Sea Travel","2010","2010","AT","Austria","1","Arrivals","Thousand","65.3"
"ASA03","Air and Sea Travel","2010","2010","AT","Austria","2","Departures","Thousand","64.5"
"ASA03","Air and Sea Travel","2010","2010","BE","Belgium","1","Arrivals","Thousand","162.1"
"ASA03","Air and Sea Travel","2010","2010","BE","Belgium","2","Departures","Thousand","164.1"
"ASA03","Air and Sea Travel","2010","2010","BG","Bulgaria","1","Arrivals","Thousand","19.5"
"ASA03","Air and Sea Travel","2010","2010","BG","Bulgaria","2","Departures","Thousand","19.6"
"ASA03","Air and Sea Travel","2010","2010","CA","Canada","1","Arrivals","Thousand","42.8"
"ASA03","Air and Sea Travel","2010","2010","CA","Canada","2","Departures","Thousand","43"
"ASA03","Air and Sea Travel","2010","2010","CH","Switzerland","1","Arrivals","Thousand","128.5"
"ASA03","Air and Sea Travel","2010","2010","CH","Switzerland","2","Departures","Thousand","129.3"
"ASA03","Air and Sea Travel","2010","2010","CY","Cyprus","1","Arrivals","Thousand","7.8"
"ASA03","Air and Sea Travel","2010","2010","CY","Cyprus","2","Departures","Thousand","7.9"
"ASA03","Air and Sea Travel","2010","2010","CZ","Czech Republic","1","Arrivals","Thousand","62"
"ASA03","Air and Sea Travel","2010","2010","CZ","Czech Republic","2","Departures","Thousand","62.5"
"ASA03","Air and Sea Travel","2010","2010","DE","Germany","1","Arrivals","Thousand","668.3"
"ASA03","Air and Sea Travel","2010","2010","DE","Germany","2","Departures","Thousand","664.6"
"ASA03","Air and Sea Travel","2010","2010","DK","Denmark","1","Arrivals","Thousand","93.2"
"ASA03","Air and Sea Travel","2010","2010","DK","Denmark","2","Departures","Thousand","92.4"
"ASA03","Air and Sea Travel","2010","2010","EE","Estonia","1","Arrivals","Thousand","2.4"
"ASA03","Air and Sea Travel","2010","2010","EE","Estonia","2","Departures","Thousand","2.9"
"ASA03","Air and Sea Travel","2010","2010","ES","Spain","1","Arrivals","Thousand","1366.4"
"ASA03","Air and Sea Travel","2010","2010","ES","Spain","2","Departures","Thousand","1363.7"
"ASA03","Air and Sea Travel","2010","2010","FI","Finland","1","Arrivals","Thousand","9.2"
"ASA03","Air and Sea Travel","2010","2010","FI","Finland","2","Departures","Thousand","9.3"
"ASA03","Air and Sea Travel","2010","2010","FR","France","1","Arrivals","Thousand","944.5"
"ASA03","Air and Sea Travel","2010","2010","FR","France","2","Departures","Thousand","946.3"
"ASA03","Air and Sea Travel","2010","2010","GB99","Other UK (1)","1","Arrivals","Thousand","26.6"
"ASA03","Air and Sea Travel","2010","2010","GB99","Other UK (1)","2","Departures","Thousand","27"
"ASA03","Air and Sea Travel","2010","2010","GR","Greece","1","Arrivals","Thousand","25.5"
"ASA03","Air and Sea Travel","2010","2010","GR","Greece","2","Departures","Thousand","26"
"ASA03","Air and Sea Travel","2010","2010","HR","Croatia","1","Arrivals","Thousand","35.1"
"ASA03","Air and Sea Travel","2010","2010","HR","Croatia","2","Departures","Thousand","33.9"
"ASA03","Air and Sea Travel","2010","2010","HU","Hungary","1","Arrivals","Thousand","97.7"
"ASA03","Air and Sea Travel","2010","2010","HU","Hungary","2","Departures","Thousand","97.3"
